Date,Time,Open,High,Low,Close,Volume
2025.01.02,09:40,2633.43,2633.86,2632.99,2633.46,313
2025.01.02,09:45,2633.55,2633.55,2632.86,2633.40,567
2025.01.02,09:50,2633.42,2634.64,2633.19,2634.50,432
2025.01.02,09:55,2634.53,2635.89,2634.24,2635.89,639
2025.01.02,10:00,2635.87,2636.34,2634.98,2635.76,1053
2025.01.02,10:05,2635.77,2636.93,2635.12,2635.15,921
2025.01.02,10:10,2635.13,2635.40,2633.82,2634.97,807
2025.01.02,10:15,2634.97,2634.98,2633.52,2634.44,900
2025.01.02,10:20,2634.43,2634.53,2632.54,2632.64,849
2025.01.02,10:25,2632.61,2633.13,2631.19,2633.10,749
2025.01.02,10:30,2633.17,2633.78,2630.98,2633.65,638
2025.01.02,10:35,2633.65,2634.17,2633.28,2633.98,575
2025.01.02,10:40,2633.85,2636.87,2633.57,2636.18,782
2025.01.02,10:45,2636.18,2637.67,2635.58,2635.81,760
2025.01.02,10:50,2635.82,2636.53,2635.25,2635.62,521
2025.01.02,10:55,2635.69,2636.96,2635.48,2636.37,619
2025.01.02,11:00,2636.37,2639.78,2636.37,2638.34,1322
2025.01.02,11:05,2638.34,2639.36,2637.96,2638.16,754
2025.01.02,11:10,2638.16,2639.00,2637.20,2638.14,737
2025.01.02,11:15,2638.10,2638.51,2637.63,2638.08,525
2025.01.02,11:20,2638.06,2638.27,2637.13,2637.33,765
2025.01.02,11:25,2637.34,2639.79,2637.25,2637.39,640
2025.01.02,11:30,2637.55,2638.28,2637.10,2637.82,592
2025.01.02,11:35,2637.80,2637.80,2636.58,2636.78,554
2025.01.02,11:40,2636.78,2637.60,2636.64,2637.03,746
2025.01.02,11:45,2637.05,2637.88,2636.46,2637.32,640
2025.01.02,11:50,2637.28,2637.54,2636.27,2636.75,704
2025.01.02,11:55,2636.73,2637.29,2635.88,2635.96,692
2025.01.02,12:00,2635.93,2636.01,2633.50,2633.58,815
2025.01.02,12:05,2633.57,2635.44,2632.59,2635.34,869
2025.01.02,12:10,2635.37,2638.80,2635.26,2638.77,951
2025.01.02,12:15,2638.76,2643.70,2637.94,2643.15,1068
2025.01.02,12:20,2643.19,2646.18,2642.68,2645.29,1366
2025.01.02,12:25,2645.31,2646.02,2644.32,2644.67,1144
2025.01.02,12:30,2644.68,2645.42,2643.06,2643.77,1049
2025.01.02,12:35,2643.79,2645.53,2642.99,2644.44,871
2025.01.02,12:40,2644.35,2645.30,2643.61,2643.93,789
2025.01.02,12:45,2643.92,2644.06,2642.14,2642.86,990
2025.01.02,12:50,2642.90,2643.58,2640.40,2642.57,1336
2025.01.02,12:55,2642.55,2642.85,2641.69,2642.60,814
2025.01.02,13:00,2642.48,2643.42,2642.29,2643.01,519
2025.01.02,13:05,2643.02,2644.23,2643.02,2644.01,813
2025.01.02,13:10,2644.04,2644.50,2643.58,2644.04,946
2025.01.02,13:15,2644.05,2644.29,2642.81,2643.01,891
2025.01.02,13:20,2643.04,2643.64,2641.76,2642.07,721
2025.01.02,13:25,2642.06,2642.06,2640.46,2641.68,688
